# Task: bending1
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,39.25,0.43,22.75,0.43,33.75,1.30
250,39.25,0.43,23.00,0.00,33.00,0.00
500,39.25,0.43,23.25,0.43,33.00,0.00
750,39.50,0.50,23.00,0.71,33.00,0.00
1000,39.50,0.50,24.00,0.00,33.00,0.00
1250,39.25,0.43,24.00,0.00,33.00,0.00
1500,39.25,0.43,24.00,0.00,33.00,0.00
1750,39.00,0.00,23.75,0.43,33.00,0.00
2000,39.50,0.50,24.00,0.00,33.00,0.00
2250,39.50,0.50,23.00,0.00,33.00,0.00
2500,39.50,0.50,23.25,0.43,33.00,0.00
2750,39.50,0.50,23.50,0.50,32.75,0.43
3000,39.50,0.50,23.75,0.43,32.50,0.50
3250,39.67,0.47,23.75,0.43,33.00,0.00
3500,39.50,0.50,24.00,0.00,33.00,0.00
3750,39.50,0.50,23.25,0.43,33.00,0.00
4000,39.50,0.50,22.50,0.50,33.00,0.00
4250,39.50,0.50,22.00,0.71,33.00,0.00
4500,40.25,0.83,21.00,0.00,33.00,0.00
4750,40.50,0.50,18.67,1.70,33.00,0.00
5000,40.67,0.47,15.50,0.87,33.00,0.00
5250,40.50,0.50,15.00,0.00,33.00,0.00
5500,40.50,0.50,15.00,0.00,33.00,0.00
5750,40.33,0.47,16.00,0.00,33.00,0.00
6000,40.50,0.50,16.00,0.71,33.00,0.00
6250,40.50,0.50,16.50,0.87,33.00,0.00
6500,40.50,0.50,17.50,0.87,33.00,0.00
6750,40.50,0.50,19.75,1.09,33.75,1.30
7000,40.75,0.83,21.00,0.00,33.00,0.00
7250,40.75,0.83,21.00,0.00,33.00,0.00
7500,41.00,1.00,20.75,0.43,33.75,1.30
7750,41.00,1.00,19.67,0.47,34.00,1.41
8000,40.75,0.83,19.25,0.43,33.75,1.30
8250,40.67,0.47,19.75,0.43,34.00,1.41
8500,41.00,0.82,19.00,0.71,35.00,1.41
8750,41.00,0.89,17.75,1.09,34.20,1.47
9000,41.50,0.50,18.00,0.00,33.00,0.00
9250,41.67,0.47,19.50,0.50,33.75,1.30
9500,41.25,0.83,20.25,0.43,34.25,1.30
9750,41.00,0.82,20.33,0.47,33.75,1.30
10000,41.50,0.50,21.00,0.00,33.75,1.30
10250,41.50,0.50,19.25,1.30,33.00,0.00
10500,41.50,0.50,17.75,0.83,34.50,1.50
10750,41.50,0.50,19.00,0.71,35.25,1.30
11000,41.50,0.50,15.50,2.18,33.00,0.00
11250,41.75,0.43,15.00,0.00,33.50,0.87
11500,41.75,0.43,14.75,0.43,33.00,0.00
11750,41.75,0.43,11.75,0.43,33.75,1.30
12000,41.75,0.43,13.75,1.09,34.50,1.50
12250,41.50,0.50,13.50,1.50,33.75,1.30
12500,41.50,0.50,13.33,1.25,33.00,0.00
12750,41.50,0.50,16.25,1.30,33.00,0.00
13000,41.75,0.43,17.75,0.43,32.50,0.50
13250,41.75,0.43,16.00,0.71,33.00,0.00
13500,42.00,0.00,15.00,1.00,33.00,0.00
13750,42.00,0.00,13.50,1.12,33.00,0.00
14000,41.75,0.43,13.00,1.22,33.00,0.00
14250,41.75,0.43,13.25,1.09,33.00,0.00
