# Task: bending1
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,43.67,0.47,24.75,0.43,30.00,0.00
250,43.33,0.47,25.33,0.47,30.00,0.00
500,42.75,0.83,25.25,0.83,30.50,0.50
750,41.75,0.43,20.50,3.35,30.75,0.83
1000,42.50,0.50,20.75,4.55,31.75,0.43
1250,43.50,0.50,24.00,0.00,32.00,0.00
1500,42.75,0.43,22.67,1.25,32.00,0.00
1750,43.67,0.47,13.00,4.64,30.00,0.00
2000,43.50,0.50,20.00,1.22,30.00,0.00
2250,43.67,0.47,15.67,0.47,31.25,1.09
2500,43.75,0.43,19.00,2.00,32.75,0.43
2750,44.00,0.71,15.75,2.59,32.50,0.50
3000,44.00,0.71,13.33,0.94,33.00,0.00
3250,43.67,0.47,12.00,0.82,33.00,0.00
3500,43.50,0.50,8.25,3.27,32.50,0.50
3750,43.50,0.50,7.00,0.82,32.67,0.47
4000,43.67,0.47,11.25,1.92,32.00,0.00
4250,43.50,0.50,15.50,5.50,32.25,0.43
4500,43.33,0.47,18.67,2.87,32.25,0.43
4750,43.50,0.50,19.75,2.86,33.50,1.50
5000,44.25,0.83,22.75,0.83,33.00,0.00
5250,43.75,0.43,17.25,4.15,32.50,0.50
5500,43.50,0.50,14.75,0.43,32.00,0.00
5750,43.50,0.50,15.00,1.41,32.25,0.43
6000,43.50,0.50,14.75,1.09,32.50,0.50
6250,43.50,0.50,20.50,3.57,33.50,1.50
6500,43.75,0.43,24.00,0.00,33.00,0.00
6750,43.67,0.47,24.00,0.00,33.00,0.00
7000,43.50,0.50,24.00,0.00,33.00,0.00
7250,43.75,0.43,23.75,0.43,33.00,0.00
7500,43.33,0.47,24.00,0.00,33.00,0.00
7750,43.33,0.47,22.33,0.47,33.00,0.00
8000,43.50,0.50,23.00,1.73,32.50,0.50
8250,43.50,0.50,19.50,2.60,32.25,0.43
8500,43.50,0.50,18.00,1.22,32.25,0.43
8750,43.50,0.50,20.25,0.83,33.00,0.00
9000,43.50,0.50,20.25,0.43,33.00,0.00
9250,43.25,0.83,20.00,0.71,32.00,0.00
9500,43.50,0.50,24.00,0.00,33.00,0.00
9750,43.00,0.71,23.25,0.43,33.00,0.00
10000,43.25,0.83,23.00,0.82,33.00,0.00
10250,43.33,0.94,23.50,0.50,33.00,0.00
10500,43.25,0.83,21.25,0.43,33.00,0.00
10750,43.67,0.47,22.50,0.50,33.00,0.00
11000,43.50,0.50,24.00,0.00,33.75,1.30
11250,43.33,0.47,18.00,0.00,33.00,0.00
11500,43.00,0.82,18.00,0.00,33.00,0.00
11750,43.00,0.71,18.25,0.43,33.00,0.00
12000,43.50,0.50,18.50,1.12,32.75,0.43
12250,43.50,0.50,20.50,2.69,32.75,0.43
12500,43.25,0.83,21.50,0.50,32.50,0.50
12750,43.25,0.83,21.33,0.47,33.00,0.00
13000,43.50,0.50,22.50,0.87,33.00,0.00
13250,43.33,0.47,24.00,0.00,34.00,1.41
13500,43.00,0.82,18.33,0.47,34.50,1.50
13750,43.33,0.47,22.00,2.83,33.00,0.00
14000,43.50,0.50,18.25,0.43,33.00,0.00
14250,43.25,0.83,19.75,0.43,33.00,0.00
14500,43.50,0.50,23.50,0.50,33.00,0.00
14750,43.25,0.83,22.75,0.43,33.00,0.00
15000,43.50,0.50,23.75,0.43,33.00,0.00
15250,43.50,0.50,21.75,0.43,33.00,0.00
15500,43.50,0.50,21.25,0.83,32.50,0.87
15750,43.50,0.50,24.00,0.00,33.00,0.00
16000,43.50,0.50,20.33,2.62,32.33,0.47
16250,43.50,0.50,18.00,0.00,32.50,0.50
16500,43.50,0.50,17.50,1.12,31.75,0.43
16750,43.50,0.50,16.75,0.83,30.75,0.43
17000,43.67,0.47,23.50,0.50,33.00,0.00
17250,43.40,0.49,24.00,0.00,33.00,0.00
17500,43.00,0.82,24.00,0.00,34.00,1.41
17750,43.67,0.47,20.50,2.60,33.00,0.00
18000,43.33,0.47,24.00,0.00,33.75,1.30
18250,43.50,0.50,23.75,0.43,33.50,0.87
18500,43.50,0.50,21.00,3.00,32.25,0.43
18750,43.50,0.50,17.25,0.83,32.25,0.43
19000,43.33,0.47,14.33,0.47,32.50,0.50
19250,43.00,0.82,12.00,0.00,32.75,0.43
19500,43.50,0.50,13.75,1.09,33.00,0.00
19750,43.50,0.50,9.50,1.50,33.00,0.00
20000,43.50,0.50,12.00,0.71,33.00,0.00
20250,43.50,0.50,18.25,3.27,33.00,0.00
20500,43.50,0.50,17.67,0.47,33.00,0.00
20750,43.67,0.47,18.25,0.43,32.67,0.47
21000,43.25,0.83,19.75,1.09,33.00,0.00
21250,42.00,0.00,20.50,1.50,36.00,0.00
21500,42.67,0.47,20.75,0.43,36.00,0.00
21750,42.50,0.50,21.75,0.83,36.00,0.00
22000,43.50,0.50,21.50,0.50,36.00,0.00
22250,42.67,0.47,21.33,0.47,35.25,1.30
22500,43.00,0.71,21.00,0.00,35.00,1.22
22750,42.75,0.83,21.00,0.00,35.25,1.30
23000,42.50,0.50,22.50,0.50,36.00,0.00
23250,42.75,0.43,21.50,0.50,36.00,0.00
23500,42.50,0.50,19.25,1.09,34.50,1.50
