# Task: bending2
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0 32.50 0.50 0.00 0.00 19.00 1.00 
250 32.50 0.50 0.00 0.00 18.50 0.50 
500 32.75 0.43 1.00 0.00 18.00 0.00 
750 32.50 0.50 0.00 0.00 17.50 0.50 
1000 32.50 0.50 7.50 0.50 17.50 0.87 
1250 32.67 0.47 11.00 1.00 16.75 0.83 
1500 32.50 0.50 6.25 0.83 18.00 0.00 
1750 32.50 0.50 3.50 0.87 18.00 0.00 
2000 32.33 0.47 6.00 0.00 18.33 0.47 
2250 32.67 0.47 8.00 0.82 18.00 0.00 
2500 32.50 0.50 8.33 3.30 16.67 0.47 
2750 32.50 0.50 10.33 1.25 16.00 1.22 
3000 32.25 0.83 9.00 3.08 16.00 0.71 
3250 32.00 0.00 2.67 0.47 15.75 0.83 
3500 31.75 0.43 2.75 1.09 16.50 1.12 
3750 32.00 0.00 1.00 0.00 17.50 0.87 
4000 32.25 0.83 0.00 0.00 17.50 0.50 
4250 32.25 0.43 0.00 0.00 17.00 1.00 
4500 31.75 0.43 5.33 3.30 17.75 0.43 
4750 31.50 0.50 9.50 0.50 17.75 0.43 
5000 31.50 0.50 5.00 2.16 17.33 0.47 
5250 31.50 0.50 4.50 0.50 17.50 0.50 
5500 31.67 0.47 4.50 1.12 18.00 0.00 
5750 31.50 0.50 1.67 0.47 18.00 0.00 
6000 31.67 0.47 1.00 0.00 18.33 0.47 
6250 31.33 0.47 2.50 0.50 18.00 0.00 
6500 31.50 0.50 2.67 0.47 18.00 0.00 
6750 31.25 0.83 3.00 0.00 18.25 0.43 
7000 31.25 0.43 2.50 0.50 18.50 0.50 
7250 31.50 0.50 4.00 0.00 18.50 0.50 
7500 31.50 0.50 5.00 1.22 18.50 0.50 
7750 31.50 0.50 5.00 0.00 18.00 0.00 
8000 31.67 0.47 8.75 0.43 17.67 0.47 
8250 31.25 0.83 8.50 0.50 18.25 0.43 
8500 31.25 0.83 11.00 0.71 18.00 0.00 
8750 31.33 0.47 4.50 2.29 18.00 0.00 
9000 31.50 0.50 2.00 0.00 18.00 0.00 
9250 31.50 0.50 5.33 1.70 17.50 0.50 
9500 30.75 0.43 11.00 1.22 18.00 0.00 
9750 30.75 0.43 11.00 1.22 18.25 0.43 
10000 30.67 0.47 5.33 1.25 18.50 0.50 
10250 31.50 0.50 6.00 0.00 18.67 0.47 
10500 30.75 0.43 5.67 0.47 18.50 0.50 
10750 30.50 0.50 3.00 0.00 19.00 0.82 
11000 30.67 0.47 6.50 1.50 18.00 0.00 
11250 30.75 0.83 9.25 1.09 18.00 0.00 
11500 30.67 0.47 11.00 0.82 18.00 0.00 
11750 30.75 0.43 11.00 0.00 18.50 0.50 
12000 30.50 0.50 11.25 0.43 18.50 0.50 
12250 30.67 0.47 11.25 0.43 19.00 0.82 
12500 30.50 0.50 11.00 0.71 19.75 0.83 
12750 30.50 0.50 11.33 0.47 19.67 0.94 
13000 31.50 0.50 9.00 1.00 19.25 1.30 
13250 33.00 0.00 3.67 1.70 17.00 3.74 
13500 32.67 0.47 7.33 3.09 11.00 2.92 
13750 32.25 0.43 6.25 3.34 14.00 6.40 
14000 33.00 0.00 8.00 3.16 23.00 0.71 
14250 32.50 0.87 9.25 2.68 23.00 1.22 
14500 31.50 0.50 10.75 0.83 23.25 0.83 
14750 32.50 0.50 10.00 0.71 22.00 0.71 
15000 32.25 0.83 11.50 0.50 21.50 0.50 
15250 31.75 0.43 11.50 0.87 22.00 1.00 
