# Task: bending2
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,24.50,0.50,15.50,0.87,26.00,2.74
250,25.00,0.00,13.50,3.64,33.50,2.60
500,26.00,0.71,14.25,3.90,18.50,13.61
750,24.33,0.47,15.67,2.62,25.50,3.64
1000,23.50,0.87,16.25,1.30,23.00,1.22
1250,23.50,0.50,17.75,0.43,22.50,1.50
1500,21.75,0.83,16.75,0.43,21.75,6.65
1750,21.75,0.43,14.00,2.55,24.25,5.76
2000,21.25,0.43,17.50,1.50,18.25,2.17
2250,21.25,0.43,19.50,2.06,21.50,2.06
2500,21.00,0.00,19.75,0.43,18.25,0.83
2750,21.25,0.43,17.50,1.80,20.75,4.44
3000,23.00,0.71,16.25,1.79,23.25,2.49
3250,23.25,0.43,18.00,0.00,22.00,0.71
3500,23.75,0.43,18.00,0.00,21.00,0.00
3750,24.00,0.00,18.00,0.00,20.75,0.43
4000,24.00,0.00,18.00,0.00,21.40,0.49
4250,24.00,0.00,18.00,0.00,21.00,0.82
4500,24.00,0.00,14.25,1.92,24.67,1.70
4750,23.60,0.49,16.25,2.49,30.20,0.40
5000,23.67,0.47,12.00,0.71,28.00,1.41
5250,23.33,0.47,12.33,0.47,29.75,0.43
5500,24.00,0.00,13.00,0.71,29.75,0.43
5750,24.00,0.00,14.75,0.43,29.00,0.71
6000,24.00,0.00,13.75,0.83,30.00,0.00
6250,24.00,0.00,12.25,0.43,29.50,0.50
6500,24.00,0.00,11.25,0.43,28.00,0.71
6750,24.25,0.43,11.75,0.43,26.25,3.03
7000,24.25,0.43,16.33,0.47,21.33,0.47
7250,24.25,0.43,12.25,0.43,28.00,2.74
7500,24.33,0.47,12.75,1.09,23.00,1.41
7750,24.00,0.00,14.33,0.47,27.00,0.00
8000,24.75,0.83,14.50,1.50,27.25,1.09
8250,25.50,0.50,11.75,1.09,27.75,1.92
8500,25.75,0.43,14.75,0.43,18.00,3.74
8750,25.50,0.50,15.00,1.41,19.50,2.69
9000,25.25,0.83,18.00,0.00,22.50,1.12
9250,25.50,0.50,16.75,1.30,18.00,2.12
9500,25.75,0.43,17.33,0.94,19.67,2.36
9750,24.75,0.43,13.75,1.30,26.00,1.58
10000,25.00,0.82,13.50,1.50,29.67,0.47
10250,26.00,1.00,13.00,1.00,29.33,1.70
10500,25.80,0.40,6.40,3.83,32.50,2.06
10750,25.50,0.50,13.00,1.22,31.00,3.67
11000,26.00,0.82,13.00,0.82,29.25,3.34
11250,25.50,1.12,8.75,3.34,25.50,1.50
