# Task: bending2
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,27.00,0.00,24.00,0.00,19.00,1.00
250,27.00,0.00,24.00,0.00,19.75,0.83
500,27.00,0.00,23.50,0.50,20.00,1.22
750,27.00,0.00,24.00,0.00,14.75,1.48
1000,27.00,0.00,23.75,0.43,14.50,1.50
1250,27.00,0.00,23.33,0.47,17.33,2.05
1500,27.00,0.00,22.00,0.00,18.75,0.83
1750,27.00,0.00,21.25,0.43,17.75,1.79
2000,27.00,0.00,21.00,0.00,19.33,0.94
2250,27.00,0.00,18.50,0.50,19.25,0.83
2500,27.00,0.00,15.25,3.90,19.33,1.25
2750,27.00,0.00,12.75,1.30,18.50,0.87
3000,27.00,0.00,19.00,2.12,17.67,4.03
3250,27.00,0.00,21.00,0.00,12.50,1.66
3500,27.00,0.00,18.33,0.47,13.25,1.30
3750,27.00,0.00,18.20,0.40,14.00,0.71
4000,27.00,0.00,20.00,1.41,13.50,1.50
4250,26.50,0.50,21.75,0.43,15.25,1.48
4500,27.00,0.00,22.00,0.71,15.75,0.83
4750,27.00,0.00,22.50,0.50,15.75,0.83
5000,27.00,0.00,22.50,0.87,15.25,0.43
5250,27.00,0.00,22.75,0.43,15.00,0.71
5500,27.00,0.00,21.00,0.00,16.33,1.25
5750,27.25,0.43,18.00,2.16,17.00,0.82
6000,27.25,0.43,16.25,1.30,16.25,1.09
6250,27.33,0.47,10.67,2.36,17.67,0.47
6500,27.25,0.43,7.50,3.91,16.75,0.83
6750,27.00,0.00,13.67,2.05,18.25,0.43
7000,27.00,0.00,17.25,5.76,15.50,2.87
7250,27.00,0.00,18.25,4.26,14.00,2.35
7500,27.00,0.00,18.67,0.94,14.25,1.79
7750,27.00,0.00,16.25,3.03,15.75,1.30
8000,27.00,0.00,14.75,1.79,13.00,1.22
8250,27.00,0.00,9.25,3.27,14.00,1.58
8500,27.25,0.43,12.67,0.94,17.33,1.25
8750,29.33,0.94,14.75,0.43,17.00,0.82
9000,30.00,0.00,17.25,0.43,16.50,0.50
9250,30.00,0.00,17.50,0.50,16.25,0.83
9500,30.00,0.00,17.00,0.82,16.50,1.12
9750,30.00,0.00,18.50,0.50,17.50,0.50
10000,30.00,0.00,18.50,0.87,17.25,0.43
10250,30.00,0.00,20.00,0.00,15.33,0.47
10500,30.00,0.00,19.75,0.43,17.50,0.50
10750,30.00,0.00,18.50,0.50,15.75,0.83
11000,30.00,0.00,19.25,0.43,16.00,1.41
11250,30.00,0.00,20.75,0.43,16.50,1.12
11500,29.75,0.43,21.25,0.43,15.25,0.43
11750,29.33,0.47,20.67,0.47,15.00,1.22
12000,29.33,0.47,21.25,0.43,16.00,0.82
12250,29.75,0.43,20.75,0.83,16.00,0.71
12500,29.67,0.47,20.50,0.50,15.67,0.94
12750,30.00,0.00,18.67,0.47,16.00,0.82
13000,30.00,0.00,18.75,0.43,15.67,0.47
13250,30.00,0.00,17.00,2.12,16.33,1.25
13500,30.00,0.00,18.25,0.43,16.50,1.12
13750,30.00,0.00,19.50,1.12,15.00,0.00
14000,30.00,0.00,20.75,0.43,15.20,0.98
14250,30.00,0.00,20.75,0.43,14.25,0.83
14500,30.00,0.00,20.00,1.22,13.00,1.41
14750,30.00,0.00,20.33,0.47,14.00,1.22
15000,30.00,0.00,18.25,1.09,17.75,1.79
15250,30.00,0.00,17.75,0.43,19.00,0.71
15500,30.00,0.00,19.25,1.30,15.50,1.80
15750,30.00,0.00,18.33,0.47,14.67,0.47
16000,30.00,0.00,20.67,0.47,15.75,0.83
16250,30.00,0.00,21.00,0.00,15.33,0.47
16500,30.00,0.00,20.75,0.43,15.00,0.71
16750,30.00,0.00,20.50,0.50,15.67,0.94
17000,30.00,0.00,21.00,0.00,14.33,1.70
17250,30.00,0.00,21.00,0.00,14.00,1.00
17500,30.00,0.00,21.25,0.43,13.50,1.50
17750,30.00,0.00,21.50,0.87,13.50,1.66
18000,29.75,0.43,22.25,0.83,14.75,1.09
18250,29.75,0.43,21.00,0.00,15.25,0.43
18500,29.50,0.50,21.00,0.71,15.00,1.22
18750,29.50,0.50,19.50,0.87,17.50,0.87
19000,29.25,0.43,21.00,0.00,19.00,1.00
19250,30.00,0.00,21.00,0.00,18.33,0.47
19500,30.00,0.00,21.00,0.00,19.67,0.47
19750,30.00,0.00,21.00,0.00,16.75,1.30
20000,30.00,0.00,21.00,0.00,14.25,0.83
20250,30.00,0.00,21.00,0.00,15.75,0.83
20500,30.00,0.00,21.00,0.00,16.00,1.22
20750,30.00,0.00,22.00,1.22,20.00,1.22
21000,30.00,0.00,23.25,0.83,21.25,0.43
21250,29.50,0.50,21.50,0.50,21.00,0.00
21500,29.75,0.43,21.75,0.43,21.50,0.50
21750,29.75,0.43,21.25,0.43,20.75,0.43
22000,29.25,0.43,20.00,1.41,20.00,0.82
22250,30.00,0.00,20.33,0.47,18.33,0.47
