# Task: bending2
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,34.50,1.50,8.00,1.58,28.00,0.71
250,36.00,0.00,11.25,3.49,28.50,0.50
500,36.00,0.00,20.00,1.22,27.00,0.71
750,38.25,0.43,21.25,0.43,26.00,0.71
1000,37.50,1.12,22.00,0.82,23.67,2.49
1250,37.00,1.00,17.75,0.43,24.50,0.87
1500,37.33,0.94,16.75,2.17,25.33,1.25
1750,37.67,0.94,16.67,0.94,23.00,1.00
2000,36.67,0.47,17.33,0.47,20.75,1.64
2250,39.75,0.83,18.75,1.09,18.50,2.50
2500,40.00,1.22,16.00,3.08,22.00,1.22
2750,39.00,0.00,15.75,2.59,24.00,0.00
3000,38.75,0.43,14.25,1.92,24.00,0.00
3250,39.00,0.00,14.67,1.25,26.00,0.82
3500,39.00,0.00,18.00,0.00,24.25,0.43
3750,39.50,0.50,18.75,1.48,20.75,0.43
4000,40.00,0.71,18.00,0.00,23.75,0.83
4250,40.67,0.47,18.50,0.50,24.00,0.00
4500,40.33,0.94,16.00,1.63,22.75,0.83
4750,42.00,0.00,16.25,1.30,26.00,1.00
5000,42.00,0.00,13.50,1.12,28.00,1.22
5250,41.75,0.43,14.00,1.00,29.75,0.43
5500,41.75,0.43,18.25,0.83,29.75,0.43
5750,42.00,0.00,20.33,0.47,30.67,0.47
6000,41.67,0.47,20.50,0.50,30.33,0.47
6250,41.67,0.47,19.75,1.79,30.00,0.00
6500,41.00,0.82,23.00,0.71,30.33,0.47
6750,38.75,0.43,22.25,0.43,29.50,0.50
7000,38.33,0.47,23.00,0.82,28.75,1.09
7250,38.25,0.83,24.00,0.00,25.25,1.09
7500,38.50,0.87,24.00,0.00,26.75,0.43
7750,39.25,0.43,24.25,0.43,28.25,0.83
8000,38.50,0.50,23.50,0.87,29.00,0.71
8250,38.75,0.43,22.50,1.12,30.00,0.71
8500,39.00,0.00,20.00,1.41,29.67,0.47
8750,40.00,1.00,22.00,1.00,28.25,1.79
9000,41.50,0.50,24.00,0.00,30.00,0.00
9250,40.75,0.83,24.00,0.00,28.75,0.83
9500,40.50,0.50,24.00,0.00,27.25,0.43
9750,40.67,0.47,24.00,0.00,28.67,0.47
10000,39.80,0.75,24.00,0.00,28.00,0.63
10250,39.67,0.47,23.75,0.43,28.33,0.47
10500,39.75,0.83,23.50,0.50,29.25,0.83
10750,40.75,0.83,24.00,0.00,30.00,0.00
11000,40.33,0.47,24.00,0.00,29.25,0.83
11250,40.83,0.69,22.00,0.71,29.25,0.43
11500,41.00,0.82,21.25,0.43,29.33,0.47
11750,40.75,0.83,21.50,0.50,30.00,0.00
12000,41.25,0.83,21.25,1.09,30.00,0.00
12250,41.33,0.47,19.67,0.47,30.00,0.00
12500,41.50,0.50,20.50,0.87,30.00,0.00
12750,41.50,0.50,22.50,1.12,30.00,0.00
13000,41.00,1.00,23.75,0.43,29.75,0.43
13250,40.00,1.00,23.75,0.43,27.75,0.83
13500,40.25,0.83,24.00,0.00,29.25,0.83
13750,39.50,0.50,24.00,0.00,28.25,0.43
14000,39.50,0.50,24.00,0.00,27.00,0.00
14250,39.50,0.50,24.25,0.43,26.50,0.50
14500,39.00,0.00,24.00,0.00,26.25,0.83
14750,39.33,0.47,24.00,0.00,26.00,0.82
15000,38.67,0.47,24.00,0.00,27.00,0.00
15250,38.75,0.43,24.00,0.00,27.25,0.43
15500,40.00,0.71,24.00,0.00,29.50,0.50
15750,40.00,0.82,24.00,0.00,29.50,0.50
16000,39.75,0.83,24.00,0.00,29.75,0.43
16250,40.50,0.50,24.00,0.00,29.00,0.00
16500,41.00,1.00,24.00,0.00,29.50,0.50
16750,40.00,1.00,24.00,0.00,29.00,0.82
17000,39.25,0.43,24.00,0.00,27.50,0.50
17250,40.00,0.71,24.00,0.00,27.00,0.00
17500,41.25,0.83,24.25,0.43,29.00,1.00
17750,40.25,0.83,24.00,0.00,28.00,1.00
18000,39.75,0.83,24.33,0.47,26.25,0.83
18250,39.67,0.47,24.00,0.00,26.00,0.00
18500,40.50,0.50,24.00,0.00,26.25,0.83
18750,40.50,1.12,24.00,0.00,24.25,0.43
19000,40.67,0.47,22.33,0.94,23.75,0.43
19250,41.00,1.22,20.75,0.43,22.50,0.87
19500,40.00,1.00,21.50,0.50,23.25,1.30
19750,39.33,0.47,23.67,0.47,24.25,0.43
20000,38.50,0.50,24.00,0.00,21.50,0.50
20250,37.50,1.26,24.00,0.00,20.20,1.17
20500,35.00,1.58,24.00,0.00,19.25,0.83
20750,33.00,0.00,24.00,0.00,19.00,0.82
