# Task: bending2
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,28.00,0.00,0.00,0.00,17.25,0.83
250,29.00,0.00,0.00,0.00,17.33,0.94
500,28.67,0.47,0.00,0.00,17.00,0.82
750,29.00,0.00,3.00,2.00,17.67,0.47
1000,29.00,0.00,3.33,0.47,18.00,1.00
1250,29.00,0.00,6.25,2.38,16.75,1.09
1500,30.00,0.00,9.00,1.63,18.50,0.87
1750,30.00,0.00,11.67,0.47,17.75,0.83
2000,30.00,0.00,11.00,0.71,19.00,1.41
2250,31.25,0.83,11.25,0.43,17.25,0.83
2500,30.00,0.00,11.00,0.82,17.50,0.87
2750,29.50,0.87,10.75,0.43,17.75,0.43
3000,28.00,0.00,12.00,0.00,18.25,0.43
3250,27.67,0.47,12.00,0.00,18.67,0.47
3500,27.00,0.00,12.00,0.00,18.67,0.94
3750,27.00,0.00,11.75,0.43,18.67,0.47
4000,27.00,0.00,12.00,0.00,18.50,0.50
4250,27.00,0.00,12.00,0.00,18.50,0.50
4500,27.00,0.00,11.50,0.50,18.00,0.00
4750,27.00,0.00,10.00,0.00,18.50,0.50
5000,27.00,0.00,9.50,0.50,18.00,0.00
5250,27.00,0.00,8.50,0.50,18.50,0.50
5500,27.00,0.00,9.00,0.00,19.00,1.00
5750,27.33,0.47,9.00,0.00,19.33,0.94
6000,27.25,0.43,9.00,0.00,19.25,0.83
6250,27.25,0.43,9.50,0.50,19.50,1.12
6500,27.00,0.00,11.00,0.71,20.75,0.43
6750,27.00,0.00,9.25,0.43,21.00,0.00
7000,27.00,0.00,8.00,0.71,20.50,0.50
7250,27.00,0.00,7.00,0.00,20.50,0.50
7500,27.00,0.00,6.50,0.50,20.67,0.47
7750,27.00,0.00,8.00,0.00,20.00,0.82
8000,27.25,0.43,6.00,0.00,20.50,0.50
8250,27.00,0.00,6.00,0.00,20.00,0.82
8500,27.00,0.00,8.50,0.87,19.33,0.94
8750,27.00,0.00,9.00,0.00,19.50,1.12
9000,27.00,0.00,9.75,0.83,20.50,0.50
9250,26.75,0.43,8.75,0.43,19.50,1.12
9500,26.75,0.43,5.50,1.80,20.00,1.00
9750,27.00,0.00,2.00,1.00,20.50,0.50
10000,27.00,0.00,0.00,0.00,19.25,0.43
10250,27.00,0.00,0.00,0.00,18.25,0.43
10500,27.00,0.00,0.00,0.00,17.67,0.47
10750,27.00,0.00,0.00,0.00,17.50,0.50
11000,27.00,0.00,0.00,0.00,17.75,0.43
11250,27.00,0.00,0.00,0.00,18.33,0.47
11500,27.25,0.43,0.00,0.00,18.33,0.47
11750,27.00,0.00,0.00,0.00,18.67,0.47
12000,27.00,0.00,1.00,0.00,18.00,0.00
12250,26.75,0.43,0.00,0.00,17.75,0.43
12500,26.40,0.80,0.00,0.00,17.60,0.49
12750,27.00,0.00,1.00,0.00,17.50,0.50
13000,27.50,0.50,1.00,0.00,16.50,1.12
13250,27.50,0.50,2.00,0.00,17.33,0.94
13500,27.00,0.00,0.00,0.00,17.50,0.50
13750,27.00,0.00,0.00,0.00,18.50,0.50
14000,27.75,0.43,0.00,0.00,18.50,0.50
14250,27.25,0.43,0.00,0.00,18.00,0.00
14500,27.00,0.00,0.00,0.00,18.00,0.00
14750,27.00,0.00,0.00,0.00,17.50,0.50
15000,27.00,0.00,0.00,0.00,17.50,0.50
15250,27.00,0.00,0.00,0.00,17.50,0.50
15500,27.25,0.43,0.00,0.00,18.00,0.00
15750,27.00,0.00,1.00,0.00,17.67,0.47
16000,26.67,0.47,3.00,0.00,18.50,0.87
16250,26.00,0.71,2.80,1.47,18.60,0.49
16500,25.25,0.43,2.50,0.50,18.75,0.83
16750,25.25,0.43,2.67,0.47,19.00,0.82
17000,26.00,0.00,1.50,0.50,19.00,0.82
17250,26.00,0.00,1.00,0.00,19.25,0.83
17500,25.75,0.43,1.75,0.43,18.50,0.50
17750,25.50,0.50,1.00,0.00,18.50,0.50
18000,25.33,0.47,0.00,0.00,18.67,0.47
18250,25.67,0.47,0.00,0.00,18.50,0.50
18500,26.00,0.00,0.00,0.00,18.50,0.50
18750,25.75,0.43,0.00,0.00,18.50,0.50
19000,26.25,0.43,0.00,0.00,18.00,0.00
19250,26.50,0.50,1.00,0.00,18.25,0.43
19500,26.75,0.43,1.67,0.47,18.50,0.87
19750,27.50,0.50,8.67,1.70,13.33,1.25
20000,27.00,0.00,8.67,1.89,13.00,1.41
20250,27.00,0.00,3.75,1.09,17.00,1.00
20500,27.00,0.00,1.67,0.47,17.50,0.50
20750,27.00,0.00,0.00,0.00,17.25,0.83
21000,27.00,0.00,0.00,0.00,17.25,0.83
21250,27.00,0.00,0.00,0.00,17.25,0.83
21500,27.00,0.00,1.00,0.00,17.50,0.50
21750,27.00,0.00,0.00,0.00,17.25,0.83
22000,27.00,0.00,0.00,0.00,16.67,0.94
22250,27.00,0.00,0.00,0.00,17.00,1.00
22500,27.00,0.00,0.00,0.00,17.33,0.94
22750,27.00,0.00,3.00,1.00,16.75,0.83
23000,28.75,1.30,7.33,3.30,16.50,1.12
23250,32.20,0.40,11.25,0.83,17.00,0.89
23500,35.00,1.41,15.50,2.60,17.00,0.82
23750,35.00,1.41,18.00,0.00,15.75,0.83
24000,34.67,1.25,20.67,0.47,14.50,0.87
24250,34.25,1.79,21.00,0.00,14.25,0.83
24500,31.25,1.09,21.25,0.43,12.25,0.43
24750,30.00,0.00,20.50,0.50,11.33,1.89
25000,30.00,0.00,17.75,0.43,14.75,1.09
25250,30.00,0.00,19.25,1.48,13.00,1.58
25500,30.00,0.00,20.67,0.94,19.50,4.50
25750,30.00,0.00,18.50,0.87,14.00,0.00
26000,30.00,0.00,21.00,0.00,12.50,0.87
26250,36.00,3.67,21.25,0.43,11.00,1.22
26500,37.25,1.30,20.25,0.83,11.75,0.43
26750,34.00,1.41,15.33,0.47,10.25,0.83
27000,33.00,0.00,14.00,1.00,14.50,2.18
27250,30.75,1.30,13.00,1.22,15.50,0.50
27500,32.00,0.71,15.00,0.00,15.50,0.50
27750,35.00,2.16,17.25,2.49,17.00,2.16
28000,38.25,1.30,17.50,2.50,22.25,6.02
28250,37.25,1.30,15.75,2.17,27.00,0.00
28500,36.50,0.87,9.33,2.05,25.00,1.41
28750,36.00,0.00,12.00,0.00,26.00,2.94
29000,36.50,0.50,12.75,0.83,26.00,1.22
29250,36.00,0.00,13.50,0.50,24.25,0.43
29500,36.00,0.00,11.50,1.12,26.00,1.58
29750,36.00,0.00,8.50,0.50,21.00,2.94
30000,36.00,0.00,9.00,0.00,9.25,3.34
30250,35.50,0.87,4.50,1.50,13.00,5.10
30500,36.00,0.00,1.00,0.00,18.25,0.43
30750,36.00,0.00,0.00,0.00,20.00,1.22
31000,38.25,0.43,6.33,1.25,23.50,2.06
31250,38.75,0.43,13.50,1.66,29.00,1.22
31500,39.00,0.00,13.25,1.92,30.00,0.00
31750,39.25,0.43,11.67,0.47,30.00,0.00
32000,38.25,0.83,8.75,2.77,27.00,1.87
32250,38.00,1.00,9.50,2.60,26.00,3.39
32500,37.67,1.25,11.50,0.50,14.50,3.50
32750,37.50,1.12,12.25,0.83,22.00,2.45
33000,38.00,0.82,11.67,2.05,23.75,0.43
33250,38.00,1.00,11.00,1.22,17.00,4.85
33500,37.50,1.12,10.75,1.64,16.00,2.45
33750,38.25,0.83,12.75,0.83,18.00,2.12
34000,38.50,0.50,7.00,3.00,20.50,0.87
34250,38.50,0.50,0.00,0.00,21.75,1.09
34500,39.00,0.00,5.00,1.63,21.75,1.30
34750,38.75,0.43,5.67,0.47,22.67,0.47
35000,39.00,0.00,6.00,0.00,23.67,0.47
35250,39.00,0.00,4.67,0.47,23.75,0.43
35500,39.00,0.00,3.25,0.43,24.00,0.00
35750,39.00,0.00,3.75,0.43,24.00,0.00
36000,39.00,0.00,4.00,0.00,23.75,0.43
36250,38.67,0.47,3.00,0.00,24.00,0.00
36500,39.00,0.00,2.75,0.43,24.00,0.00
36750,39.00,0.00,1.75,0.43,24.00,0.00
37000,39.00,0.00,1.67,0.47,24.00,0.00
37250,39.00,0.00,2.00,0.00,24.00,0.00
37500,39.00,0.00,1.50,0.50,24.25,0.43
37750,39.00,0.00,2.00,0.82,24.50,0.50
38000,38.50,0.50,3.25,0.43,24.00,0.00
38250,39.00,0.00,4.25,0.43,24.00,0.00
38500,39.00,0.00,4.50,0.50,23.67,0.47
38750,38.67,0.47,7.33,0.94,22.00,1.41
39000,39.00,0.00,6.33,0.47,20.25,0.83
39250,38.75,0.43,7.00,0.71,20.25,1.30
39500,38.75,0.43,7.00,1.22,20.75,0.43
39750,38.50,0.50,10.00,1.22,20.00,0.71
40000,38.25,0.83,13.00,0.71,17.25,1.30
40250,38.00,1.00,15.00,0.00,14.00,1.22
40500,37.75,1.30,14.67,0.47,12.33,0.47
40750,37.67,0.94,14.00,0.00,13.75,1.09
41000,38.25,0.83,13.75,0.43,16.75,1.30
41250,38.67,0.47,11.75,0.43,20.00,0.82
41500,38.67,0.47,6.33,1.25,21.00,0.00
41750,37.25,1.09,12.50,0.50,20.00,0.71
42000,35.33,0.94,7.00,2.83,28.50,3.20
42250,32.75,2.17,12.75,1.92,24.00,3.08
42500,30.00,0.00,13.75,1.30,25.25,1.30
42750,26.00,1.87,11.75,1.09,26.25,1.30
43000,23.25,0.83,10.33,1.25,24.50,2.18
43250,26.25,1.30,4.75,2.59,15.00,2.55
43500,27.00,0.00,1.00,0.00,17.75,0.43
43750,27.25,1.79,5.75,4.02,17.00,0.71
44000,36.25,3.27,21.00,2.45,21.50,2.50
44250,38.25,1.30,20.67,0.47,15.50,2.50
44500,32.67,2.49,21.00,0.71,17.33,0.47
44750,35.67,2.05,21.00,0.00,17.25,4.87
45000,36.00,3.54,20.50,1.50,19.75,2.77
45250,38.00,2.12,19.50,1.12,21.75,4.15
45500,38.50,4.33,18.67,0.94,21.33,1.25
45750,28.33,1.70,14.80,3.87,15.50,6.73
46000,30.75,1.30,18.75,0.83,14.75,6.02
46250,26.50,2.60,17.50,0.50,9.75,4.44
46500,26.67,3.77,22.50,1.50,10.00,4.32
46750,29.00,3.00,23.75,1.79,5.50,2.50
47000,22.00,0.82,13.25,3.27,6.67,4.03
47250,24.00,0.00,21.00,0.00,10.00,3.74
47500,23.67,0.47,24.00,0.00,14.00,0.71
47750,23.67,0.47,21.75,1.92,10.00,0.82
48000,23.50,0.50,17.25,0.83,6.25,4.02
48250,23.50,0.50,23.00,1.22,16.00,2.74
48500,23.33,0.47,24.00,0.00,17.00,2.16
